F:\Data\IMG\center_2023_05_17_18_14_37_732.jpg, F:\Data\IMG\left_2023_05_17_18_14_37_732.jpg, F:\Data\IMG\right_2023_05_17_18_14_37_732.jpg, 0, 0, 0, 8.133116E-05
F:\Data\IMG\center_2023_05_17_18_14_37_835.jpg, F:\Data\IMG\left_2023_05_17_18_14_37_835.jpg, F:\Data\IMG\right_2023_05_17_18_14_37_835.jpg, 0, 0, 0, 7.852713E-05
F:\Data\IMG\center_2023_05_17_18_14_37_936.jpg, F:\Data\IMG\left_2023_05_17_18_14_37_936.jpg, F:\Data\IMG\right_2023_05_17_18_14_37_936.jpg, 0, 0, 0, 7.845408E-05
F:\Data\IMG\center_2023_05_17_18_14_38_038.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_038.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_038.jpg, 0, 0, 0, 7.835055E-05
F:\Data\IMG\center_2023_05_17_18_14_38_138.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_138.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_138.jpg, 0, 0, 0, 7.794057E-05
F:\Data\IMG\center_2023_05_17_18_14_38_239.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_239.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_239.jpg, 0, 0, 0, 7.806085E-05
F:\Data\IMG\center_2023_05_17_18_14_38_340.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_340.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_340.jpg, 0, 0, 0, 7.890798E-05
F:\Data\IMG\center_2023_05_17_18_14_38_441.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_441.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_441.jpg, 0, 0, 0, 7.964129E-05
F:\Data\IMG\center_2023_05_17_18_14_38_544.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_544.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_544.jpg, 0, 0, 0, 8.018355E-05
F:\Data\IMG\center_2023_05_17_18_14_38_645.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_645.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_645.jpg, 0, 0, 0, 7.772365E-05
F:\Data\IMG\center_2023_05_17_18_14_38_747.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_747.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_747.jpg, 0, 0, 0, 7.812929E-05
F:\Data\IMG\center_2023_05_17_18_14_38_848.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_848.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_848.jpg, 0, 0, 0, 7.802463E-05
F:\Data\IMG\center_2023_05_17_18_14_38_950.jpg, F:\Data\IMG\left_2023_05_17_18_14_38_950.jpg, F:\Data\IMG\right_2023_05_17_18_14_38_950.jpg, 0, 0.1407873, 0, 0.05198994
F:\Data\IMG\center_2023_05_17_18_14_39_051.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_051.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_051.jpg, 0, 0.4441423, 0, 0.4285291
F:\Data\IMG\center_2023_05_17_18_14_39_151.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_151.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_151.jpg, 0, 0.7379069, 0, 1.122282
F:\Data\IMG\center_2023_05_17_18_14_39_253.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_253.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_253.jpg, -0.0379275, 1, 0, 2.236822
F:\Data\IMG\center_2023_05_17_18_14_39_355.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_355.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_355.jpg, -0.3359659, 1, 0, 3.400102
F:\Data\IMG\center_2023_05_17_18_14_39_456.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_456.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_456.jpg, -0.03986673, 1, 0, 4.572942
F:\Data\IMG\center_2023_05_17_18_14_39_559.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_559.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_559.jpg, 0, 1, 0, 5.731562
F:\Data\IMG\center_2023_05_17_18_14_39_660.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_660.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_660.jpg, -0.1110618, 1, 0, 6.878302
F:\Data\IMG\center_2023_05_17_18_14_39_762.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_762.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_762.jpg, -0.4290873, 1, 0, 8.194133
F:\Data\IMG\center_2023_05_17_18_14_39_864.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_864.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_864.jpg, -0.1318119, 1, 0, 9.319176
F:\Data\IMG\center_2023_05_17_18_14_39_964.jpg, F:\Data\IMG\left_2023_05_17_18_14_39_964.jpg, F:\Data\IMG\right_2023_05_17_18_14_39_964.jpg, 0, 1, 0, 10.42436
F:\Data\IMG\center_2023_05_17_18_14_40_065.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_065.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_065.jpg, -0.1401675, 1, 0, 11.62195
F:\Data\IMG\center_2023_05_17_18_14_40_167.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_167.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_167.jpg, -0.4360346, 1, 0, 12.4473
F:\Data\IMG\center_2023_05_17_18_14_40_267.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_267.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_267.jpg, -0.1670951, 1, 0, 13.64896
F:\Data\IMG\center_2023_05_17_18_14_40_370.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_370.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_370.jpg, 0, 1, 0, 14.6412
F:\Data\IMG\center_2023_05_17_18_14_40_470.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_470.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_470.jpg, 0, 1, 0, 15.77835
F:\Data\IMG\center_2023_05_17_18_14_40_571.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_571.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_571.jpg, -0.1787778, 1, 0, 16.75547
F:\Data\IMG\center_2023_05_17_18_14_40_674.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_674.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_674.jpg, -0.4274163, 1, 0, 17.75283
F:\Data\IMG\center_2023_05_17_18_14_40_776.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_776.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_776.jpg, -0.1276999, 1, 0, 18.76715
F:\Data\IMG\center_2023_05_17_18_14_40_878.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_878.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_878.jpg, 0, 1, 0, 19.75914
F:\Data\IMG\center_2023_05_17_18_14_40_978.jpg, F:\Data\IMG\left_2023_05_17_18_14_40_978.jpg, F:\Data\IMG\right_2023_05_17_18_14_40_978.jpg, -0.1451478, 1, 0, 20.78885
